RELEASE_NAME	ARCHITECTURE_NAME	EXTERNAL_TAG
CMSSW_4_2_X_2011-03-09-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-09-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-03-09-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_2_0_pre7	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_0_pre7	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_3_X_2011-03-17-1500	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-17-1500	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-17-1500	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_3_X_2011-03-20-0300	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-20-0300	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-20-0300	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-03-21-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-21-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-21-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_3_X_2011-03-21-0300	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-21-0300	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-21-0300	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_11_X_2011-03-06-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_3_11_X_2011-03-07-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_2_X_2011-03-07-1600	osx106_amd64_gcc421	V00-16-05
CMSSW_4_2_X_2011-03-07-1600	slc5_amd64_gcc434	V00-16-05
CMSSW_4_2_X_2011-03-07-1600	slc5_amd64_gcc451	V00-16-05
CMSSW_3_11_X_2011-03-08-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_2_X_2011-03-09-1100	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-09-1100	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-09-1100	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-03-09-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_4_2_X_2011-03-10-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-10-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-10-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-03-10-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_3_X_2011-03-10-1400	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-10-1400	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-10-1400	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_1_X_2011-03-19-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_3_9_X_2011-03-21-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_4_1_X_2011-03-23-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-24-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-24-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-24-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-03-25-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-25-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-25-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_1_X_2011-03-27-0300	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-30-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-30-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-30-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-04-04-1400	slc5_ia32_gcc434	V00-11-04
